Model,Accuracy_Train,Accuracy_Test,Precision,Recall,F1_Score
Random Forest,0.98,0.74,0.7504040404040404,0.74,0.7430344749971864
SVM,0.9375,0.91,0.9113097451274362,0.91,0.9101250847483451
KNN,0.9375,0.89,0.8908,0.89,0.8894690854119426
