Model,Accuracy_Train,Accuracy_Test,Precision,Recall,F1_Score
Random Forest,0.99,0.88,0.8828367546432062,0.88,0.8798518537341498
SVM,0.965,0.97,0.9722051282051283,0.97,0.9699388855279963
KNN,0.96,0.95,0.9537333333333332,0.95,0.9498721792589925
