Model,Accuracy_Train,Accuracy_Test,Precision,Recall,F1_Score
Random Forest,0.9825,0.82,0.8275866028708134,0.82,0.8203531741485688
SVM,0.96,0.92,0.9252777777777779,0.92,0.9197231796155453
KNN,0.93,0.92,0.9228580333489168,0.92,0.9203518894603983
